id,prompt,label,reasoning,graph_id,story_id,rung,query_type,formal_form,question_property,dataset_variant,subset,diagnostic_source
16484,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition. Method 1: We look at how having a sister correlates with heart condition case by case according to blood pressure. Method 2: We look directly at how having a sister correlates with heart condition in general.",no,"nan
nan
nan
nan
nan
nan
nan",mediation,blood_pressure,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
2438,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on foot size. Going to the beach has a direct effect on foot size. Method 1: We look at how tanning salon treatment correlates with foot size case by case according to going to the beach. Method 2: We look directly at how tanning salon treatment correlates with foot size in general.",no,"nan
nan
nan
nan
nan
nan
nan",fork,getting_tanned,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
2578,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on foot size. Going to the beach has a direct effect on foot size. Method 1: We look at how tanning salon treatment correlates with foot size case by case according to going to the beach. Method 2: We look directly at how tanning salon treatment correlates with foot size in general.",no,"nan
nan
nan
nan
nan
nan
nan",fork,getting_tanned,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
7354,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Personality has a direct effect on relationship status. Freckles has a direct effect on relationship status. Method 1: We look at how personality correlates with freckles case by case according to relationship status. Method 2: We look directly at how personality correlates with freckles in general.",no,"nan
nan
nan
nan
nan
nan
nan",collision,man_in_relationship,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
22588,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and lip thickness. Hospital costs has a direct effect on lip thickness. Method 1: We look directly at how hospital costs correlates with lip thickness in general. Method 2: We look at this correlation case by case according to age.",no,"nan
nan
nan
nan
nan
nan
nan",confounding,simpson_hospital,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
13269,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Drinking coffee has a direct effect on room. The candle has a direct effect on room. Method 1: We look directly at how drinking coffee correlates with room in general. Method 2: We look at this correlation case by case according to the candle.",yes,"nan
nan
nan
nan
nan
nan
nan",fork,candle,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
17715,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Talent has a direct effect on elite institution admission status. Brown eyes has a direct effect on elite institution admission status. Method 1: We look directly at how talent correlates with brown eyes in general. Method 2: We look at this correlation case by case according to elite institution admission status.",yes,"nan
nan
nan
nan
nan
nan
nan",collision,elite_students,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
19655,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Drinking coffee has a direct effect on hospitalization status. Broken bones has a direct effect on hospitalization status. Method 1: We look directly at how drinking coffee correlates with broken bones in general. Method 2: We look at this correlation case by case according to hospitalization status.",yes,"nan
nan
nan
nan
nan
nan
nan",collision,hospitalization,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
19745,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Drinking coffee has a direct effect on hospitalization status. Broken bones has a direct effect on hospitalization status. Method 1: We look directly at how drinking coffee correlates with broken bones in general. Method 2: We look at this correlation case by case according to hospitalization status.",yes,"nan
nan
nan
nan
nan
nan
nan",collision,hospitalization,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
24887,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on having a brother and infant's birth weight. Cigarette tax has a direct effect on having a brother. Having a brother has a direct effect on infant's birth weight. Unobserved confounders is unobserved. Method 1: We look at how having a brother correlates with infant's birth weight case by case according to unobserved confounders. Method 2: We look directly at how having a brother correlates with infant's birth weight in general.",yes,"nan
nan
nan
nan
nan
nan
nan",IV,tax_smoke_birthWeight,2,backadj,[backdoor adjustment set for Y given X],,anticommonsense,formal,stress
16506,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Ability to speak english has a direct effect on fame. Talent has a direct effect on fame. For people who are famous, the correlation between speaking english and talent is -0.20.",no,"Let Y = talent; X = ability to speak english; V3 = fame.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
no",collision,celebrity,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
5246,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on elite institution admission status. Effort has a direct effect on elite institution admission status. For students accepted to elite institutions, the correlation between listening to jazz and being hard-working is -0.66.",no,"Let Y = effort; X = listening to jazz; V3 = elite institution admission status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
no",collision,elite_students,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
19916,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Drinking coffee has a direct effect on hospitalization status. Broken bones has a direct effect on hospitalization status. For hospitalized individuals, the correlation between drinking coffee and broken bones is -0.18.",no,"Let Y = broken bones; X = drinking coffee; V3 = hospitalization status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
no",collision,hospitalization,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
7366,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Personality has a direct effect on relationship status. Freckles has a direct effect on relationship status. For people in a relationship, the correlation between kindness and freckles is -0.04.",no,"Let Y = freckles; X = personality; V3 = relationship status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
no",collision,man_in_relationship,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
19996,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Liking spicy food has a direct effect on relationship status. Appearance has a direct effect on relationship status. For people in a relationship, the correlation between liking spicy food and attractive appearance is 0.33.",no,"Let Y = appearance; X = liking spicy food; V3 = relationship status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
no",collision,man_in_relationship,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
4127,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Appearance has a direct effect on fame. Lip thickness has a direct effect on fame. For people who are famous, the correlation between attractive appearance and thick lips is -0.09.",yes,"Let Y = lip thickness; X = appearance; V3 = fame.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
yes",collision,celebrity,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
16517,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Ability to speak english has a direct effect on fame. Talent has a direct effect on fame. For people who are famous, the correlation between speaking english and talent is -0.01.",yes,"Let Y = talent; X = ability to speak english; V3 = fame.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
yes",collision,celebrity,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
5167,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on elite institution admission status. Effort has a direct effect on elite institution admission status. For students accepted to elite institutions, the correlation between listening to jazz and being hard-working is -0.08.",yes,"Let Y = effort; X = listening to jazz; V3 = elite institution admission status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
yes",collision,elite_students,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
17727,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Talent has a direct effect on elite institution admission status. Brown eyes has a direct effect on elite institution admission status. For students accepted to elite institutions, the correlation between talent and brown eyes is -0.05.",yes,"Let Y = brown eyes; X = talent; V3 = elite institution admission status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
yes",collision,elite_students,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
7097,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Respiratory issues has a direct effect on hospitalization status. Black hair has a direct effect on hospitalization status. For hospitalized individuals, the correlation between respiratory issues and black hair is -0.06.",yes,"Let Y = black hair; X = respiratory issues; V3 = hospitalization status.
X->V3,Y->V3
E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]
X and Y do not affect each other.

0
yes",collision,hospitalization,2,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",,anticommonsense,formal,stress
657,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Liking spicy food has a direct effect on room. The candle has a direct effect on room. The overall probability of liking spicy food is 31%. The probability of not liking spicy food and dark room is 39%. The probability of liking spicy food and dark room is 28%.",no,"Let V2 = the candle; X = liking spicy food; Y = room.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.31
P(Y=1, X=0=1) = 0.39
P(Y=1, X=1=1) = 0.28
0.28/0.31 - 0.39/0.69 = 0.34
0.34 > 0",fork,candle,1,correlation,P(Y | X),,anticommonsense,formal,stress
17564,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on education level and foot size. Proximity to a college has a direct effect on education level. Education level has a direct effect on foot size. Unobserved confounders is unobserved. The overall probability of college degree or higher is 9%. The probability of high school degree or lower and large feet is 61%. The probability of college degree or higher and large feet is 2%.",no,"Let V2 = proximity to a college; V1 = unobserved confounders; X = education level; Y = foot size.
V1->X,V2->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.09
P(Y=1, X=0=1) = 0.61
P(Y=1, X=1=1) = 0.02
0.02/0.09 - 0.61/0.91 = -0.41
-0.41 < 0",IV,college_wage,1,correlation,P(Y | X),,anticommonsense,formal,stress
22447,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and lip thickness. Hospital costs has a direct effect on lip thickness. The overall probability of high hospital bill is 55%. The probability of low hospital bill and thick lips is 11%. The probability of high hospital bill and thick lips is 32%.",no,"Let V1 = age; X = hospital costs; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.55
P(Y=1, X=0=1) = 0.11
P(Y=1, X=1=1) = 0.32
0.32/0.55 - 0.11/0.45 = 0.34
0.34 > 0",confounding,simpson_hospital,1,correlation,P(Y | X),,anticommonsense,formal,stress
10196,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and lip thickness. Treatment has a direct effect on lip thickness. The overall probability of receives treatment is 75%. The probability of receives no treatment and thick lips is 18%. The probability of receives treatment and thick lips is 33%.",no,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.75
P(Y=1, X=0=1) = 0.18
P(Y=1, X=1=1) = 0.33
0.33/0.75 - 0.18/0.25 = -0.27
-0.27 < 0",confounding,simpson_kidneystone,1,correlation,P(Y | X),,anticommonsense,formal,stress
22847,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on ability to speak english and recovery. Ability to speak english has a direct effect on recovery. The overall probability of speaking english is 39%. The probability of not speaking english and recovery is 19%. The probability of speaking english and recovery is 27%.",no,"Let V1 = kidney stone size; X = ability to speak english; Y = recovery.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.39
P(Y=1, X=0=1) = 0.19
P(Y=1, X=1=1) = 0.27
0.27/0.39 - 0.19/0.61 = 0.39
0.39 > 0",confounding,simpson_kidneystone,1,correlation,P(Y | X),,anticommonsense,formal,stress
18315,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Encouragement level has a direct effect on studying habit and brown eyes. Studying habit has a direct effect on brown eyes. The overall probability of encouragement is 81%. The probability of discouragement and brown eyes is 12%. The probability of encouragement and brown eyes is 49%.",yes,"Let X = encouragement level; V2 = studying habit; Y = brown eyes.
X->V2,X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.81
P(Y=1, X=0=1) = 0.12
P(Y=1, X=1=1) = 0.49
0.49/0.81 - 0.12/0.19 = -0.06
-0.06 < 0",mediation,encouagement_program,1,correlation,P(Y | X),,anticommonsense,formal,stress
906,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and having visited England. Having visited England has a direct effect on employee. Director has a direct effect on employee. The overall probability of having visited England is 24%. The probability of not having visited England and employee being fired is 26%. The probability of having visited England and employee being fired is 18%.",yes,"Let V1 = CEO; V3 = director; X = having visited England; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.24
P(Y=1, X=0=1) = 0.26
P(Y=1, X=1=1) = 0.18
0.18/0.24 - 0.26/0.76 = 0.41
0.41 > 0",diamondcut,firing_employee,1,correlation,P(Y | X),,anticommonsense,formal,stress
2237,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Solar eclipse has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. The overall probability of solar eclipse is 32%. The probability of no solar eclipse and arriving to school on time is 51%. The probability of solar eclipse and arriving to school on time is 10%.",yes,"Let V2 = traffic; X = solar eclipse; Y = Alice arriving to school.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.32
P(Y=1, X=0=1) = 0.51
P(Y=1, X=1=1) = 0.10
0.10/0.32 - 0.51/0.68 = -0.44
-0.44 < 0",fork,getting_late,1,correlation,P(Y | X),,anticommonsense,formal,stress
22686,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on ability to speak english and recovery. Ability to speak english has a direct effect on recovery. The overall probability of speaking english is 65%. The probability of not speaking english and recovery is 13%. The probability of speaking english and recovery is 41%.",yes,"Let V1 = kidney stone size; X = ability to speak english; Y = recovery.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.65
P(Y=1, X=0=1) = 0.13
P(Y=1, X=1=1) = 0.41
0.41/0.65 - 0.13/0.35 = 0.26
0.26 > 0",confounding,simpson_kidneystone,1,correlation,P(Y | X),,anticommonsense,formal,stress
10557,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pre-conditions has a direct effect on vaccination and lactose intolerance. Vaccination has a direct effect on lactose intolerance. The overall probability of getting the vaccine is 52%. The probability of vaccine refusal and being lactose intolerant is 32%. The probability of getting the vaccine and being lactose intolerant is 11%.",yes,"Let V1 = pre-conditions; X = vaccination; Y = lactose intolerance.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.52
P(Y=1, X=0=1) = 0.32
P(Y=1, X=1=1) = 0.11
0.11/0.52 - 0.32/0.48 = -0.45
-0.45 < 0",confounding,simpson_vaccine,1,correlation,P(Y | X),,anticommonsense,formal,stress
25324,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Drinking coffee has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. We know that drinking coffee causes alarm not set by wife. drinking coffee and alarm set by wife causes ringing alarm.",no,"Let X = drinking coffee; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
Y_{X=0} = 1 | 
Solve for Y, given the evidence and the action
V2 = not X
Y = X and V2
Y = 0 = 0 and 1
0",mediation,alarm,3,det-counterfactual,Y_{X=0} = 1 | ,,anticommonsense,formal,stress
