story_id,query_type,formal_form,rung,token_len,yes_id,yes_prompt,no_id,no_prompt
neg_mediation,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",3,197,3064,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Smoking has a direct effect on effort and college admission. Effort has a direct effect on college admission. For nonsmokers and are lazy, the probability of college admission is 26%. For nonsmokers and are hard-working, the probability of college admission is 66%. For smokers and are lazy, the probability of college admission is 9%. For smokers and are hard-working, the probability of college admission is 62%. For nonsmokers, the probability of being hard-working is 44%. For smokers, the probability of being hard-working is 100%. If we disregard the mediation effect through effort, would smoking negatively affect college admission?",7804,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Smoking has a direct effect on effort and college admission. Effort has a direct effect on college admission. For nonsmokers and are lazy, the probability of college admission is 92%. For nonsmokers and are hard-working, the probability of college admission is 50%. For smokers and are lazy, the probability of college admission is 80%. For smokers and are hard-working, the probability of college admission is 36%. For nonsmokers, the probability of being hard-working is 17%. For smokers, the probability of being hard-working is 74%. If we disregard the mediation effect through effort, would smoking positively affect college admission?"
nonsense0,backadj,[backdoor adjustment set for Y given X],2,169,21177,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zuph has a direct effect on swoy and rixq. Rixq has a direct effect on xevu. Swoy has a direct effect on xevu. Method 1: We look at how rixq correlates with xevu case by case according to swoy. Method 2: We look directly at how rixq correlates with xevu in general. To understand how rixq affects xevu, is it more correct to use the Method 1 than Method 2?",21110,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Rixq has a direct effect on swoy and zuph. Zuph has a direct effect on xevu. Swoy has a direct effect on xevu. Method 1: We look at how rixq correlates with xevu case by case according to swoy. Method 2: We look directly at how rixq correlates with xevu in general. To understand how rixq affects xevu, is it more correct to use the Method 1 than Method 2?"
nonsense1,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,149,25617,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on swoq. Swoq has a direct effect on kwoz. For those who are not kwox, the probability of kwoz is 54%. For those who are kwox, the probability of kwoz is 27%. For those who are kwox, would it be more likely to see kwoz if the individual was not kwox?",21261,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on swoq. Swoq has a direct effect on kwoz. For those who are not kwox, the probability of kwoz is 86%. For those who are kwox, the probability of kwoz is 86%. For those who are kwox, would it be more likely to see kwoz if the individual was not kwox?"
nonsense3,nie,"E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]",3,135,26488,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yomx has a direct effect on gwet. Gwet has a direct effect on xevu. For those who are not yomx, the probability of xevu is 68%. For those who are yomx, the probability of xevu is 40%. Does yomx negatively affect xevu through gwet?",22127,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yomx has a direct effect on gwet. Gwet has a direct effect on xevu. For those who are not yomx, the probability of xevu is 70%. For those who are yomx, the probability of xevu is 60%. Does yomx positively affect xevu through gwet?"
nonsense4,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,263,27135,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gyzp has a direct effect on jyka and lirg. Jyka has a direct effect on hwax. Hwax has a direct effect on lirg. Gyzp is unobserved. For those who are not jyka, the probability of hwax is 69%. For those who are jyka, the probability of hwax is 7%. For those who are not jyka and are not hwax, the probability of lirg is 60%. For those who are not jyka and are hwax, the probability of lirg is 72%. For those who are jyka and are not hwax, the probability of lirg is 57%. For those who are jyka and are hwax, the probability of lirg is 60%. The overall probability of jyka is 94%. Will jyka decrease the chance of lirg?",27111,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gyzp has a direct effect on jyka and lirg. Jyka has a direct effect on hwax. Hwax has a direct effect on lirg. Gyzp is unobserved. For those who are not jyka, the probability of hwax is 47%. For those who are jyka, the probability of hwax is 6%. For those who are not jyka and are not hwax, the probability of lirg is 57%. For those who are not jyka and are hwax, the probability of lirg is 29%. For those who are jyka and are not hwax, the probability of lirg is 63%. For those who are jyka and are hwax, the probability of lirg is 30%. The overall probability of jyka is 21%. Will jyka decrease the chance of lirg?"
nonsense4,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",3,240,22707,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on hwax and lirg. Hwax has a direct effect on lirg. For those who are not jyka and are not hwax, the probability of lirg is 85%. For those who are not jyka and are hwax, the probability of lirg is 27%. For those who are jyka and are not hwax, the probability of lirg is 92%. For those who are jyka and are hwax, the probability of lirg is 62%. For those who are not jyka, the probability of hwax is 43%. For those who are jyka, the probability of hwax is 76%. If we disregard the mediation effect through hwax, would jyka positively affect lirg?",22708,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on hwax and lirg. Hwax has a direct effect on lirg. For those who are not jyka and are not hwax, the probability of lirg is 85%. For those who are not jyka and are hwax, the probability of lirg is 27%. For those who are jyka and are not hwax, the probability of lirg is 92%. For those who are jyka and are hwax, the probability of lirg is 62%. For those who are not jyka, the probability of hwax is 43%. For those who are jyka, the probability of hwax is 76%. If we disregard the mediation effect through hwax, would jyka negatively affect lirg?"
nonsense5,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",3,333,23295,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on yupt and kwox. Qwiu has a direct effect on yupt and kwox. Yupt has a direct effect on kwox. Qwiu is unobserved. For those who are not jyka and are not yupt, the probability of kwox is 95%. For those who are not jyka and are yupt, the probability of kwox is 48%. For those who are jyka and are not yupt, the probability of kwox is 89%. For those who are jyka and are yupt, the probability of kwox is 35%. For those who are not jyka and are not qwiu, the probability of yupt is 77%. For those who are not jyka and are qwiu, the probability of yupt is 25%. For those who are jyka and are not qwiu, the probability of yupt is 53%. For those who are jyka and are qwiu, the probability of yupt is 71%. The overall probability of qwiu is 96%. If we disregard the mediation effect through yupt, would jyka negatively affect kwox?",27610,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on yupt and kwox. Qwiu has a direct effect on yupt and kwox. Yupt has a direct effect on kwox. Qwiu is unobserved. For those who are not jyka and are not yupt, the probability of kwox is 19%. For those who are not jyka and are yupt, the probability of kwox is 46%. For those who are jyka and are not yupt, the probability of kwox is 32%. For those who are jyka and are yupt, the probability of kwox is 77%. For those who are not jyka and are not qwiu, the probability of yupt is 92%. For those who are not jyka and are qwiu, the probability of yupt is 98%. For those who are jyka and are not qwiu, the probability of yupt is 37%. For those who are jyka and are qwiu, the probability of yupt is 71%. The overall probability of qwiu is 74%. If we disregard the mediation effect through yupt, would jyka negatively affect kwox?"
nonsense6,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,216,23830,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on xyfo and yupt. Yupt has a direct effect on muvq. Xyfo has a direct effect on muvq. For those who are not zupj and are not yupt, the probability of muvq is 94%. For those who are not zupj and are yupt, the probability of muvq is 58%. For those who are zupj and are not yupt, the probability of muvq is 92%. For those who are zupj and are yupt, the probability of muvq is 55%. The overall probability of zupj is 95%. Will yupt decrease the chance of muvq?",28173,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on xyfo and yupt. Yupt has a direct effect on muvq. Xyfo has a direct effect on muvq. For those who are not zupj and are not yupt, the probability of muvq is 54%. For those who are not zupj and are yupt, the probability of muvq is 43%. For those who are zupj and are not yupt, the probability of muvq is 39%. For those who are zupj and are yupt, the probability of muvq is 65%. The overall probability of zupj is 96%. Will yupt decrease the chance of muvq?"
nonsense6,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,249,23813,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on xyfo and yupt. Yupt has a direct effect on muvq. Xyfo has a direct effect on muvq. For those who are not yupt and are not xyfo, the probability of muvq is 84%. For those who are not yupt and are xyfo, the probability of muvq is 12%. For those who are yupt and are not xyfo, the probability of muvq is 17%. For those who are yupt and are xyfo, the probability of muvq is 72%. For those who are not yupt, the probability of xyfo is 41%. For those who are yupt, the probability of xyfo is 46%. For those who are yupt, would it be more likely to see muvq if the individual was not yupt?",28162,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on xyfo and yupt. Yupt has a direct effect on muvq. Xyfo has a direct effect on muvq. For those who are not yupt and are not xyfo, the probability of muvq is 83%. For those who are not yupt and are xyfo, the probability of muvq is 16%. For those who are yupt and are not xyfo, the probability of muvq is 85%. For those who are yupt and are xyfo, the probability of muvq is 99%. For those who are not yupt, the probability of xyfo is 29%. For those who are yupt, the probability of xyfo is 52%. For those who are yupt, would it be more likely to see muvq if the individual was not yupt?"
orange_scurvy,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,127,3306,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Eating citrus has a direct effect on vitmain C. Vitmain C has a direct effect on scurvy. For patients not consuming citrus, the probability of scurvy is 63%. For patients consuming citrus, the probability of scurvy is 41%. Will citrus intake decrease the chance of scurvy?",8161,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Eating citrus has a direct effect on vitmain C. Vitmain C has a direct effect on scurvy. For patients not consuming citrus, the probability of scurvy is 75%. For patients consuming citrus, the probability of scurvy is 42%. Will citrus intake increase the chance of scurvy?"
simpson_hospital,backadj,[backdoor adjustment set for Y given X],2,140,8480,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and recovery. Hospital costs has a direct effect on recovery. Method 1: We look at how hospital costs correlates with recovery case by case according to age. Method 2: We look directly at how hospital costs correlates with recovery in general. To understand how hospital costs affects recovery, is it more correct to use the Method 1 than Method 2?",18857,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and lip thickness. Hospital costs has a direct effect on lip thickness. Method 1: We look directly at how hospital costs correlates with lip thickness in general. Method 2: We look at this correlation case by case according to age. To understand how hospital costs affects lip thickness, is it more correct to use the Method 1 than Method 2?"
smoking_frontdoor,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,234,14689,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and peanut allergy. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on peanut allergy. Gender is unobserved. For nonsmokers and with no tar deposit, the probability of being allergic to peanuts is 33%. For nonsmokers and with high tar deposit, the probability of being allergic to peanuts is 62%. For smokers and with no tar deposit, the probability of being allergic to peanuts is 19%. For smokers and with high tar deposit, the probability of being allergic to peanuts is 52%. For nonsmokers, the probability of high tar deposit is 34%. For smokers, the probability of high tar deposit is 70%. For smokers, would it be less likely to see being allergic to peanuts if the person had been a nonsmoker?",14612,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and peanut allergy. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on peanut allergy. Gender is unobserved. For nonsmokers and with no tar deposit, the probability of being allergic to peanuts is 35%. For nonsmokers and with high tar deposit, the probability of being allergic to peanuts is 63%. For smokers and with no tar deposit, the probability of being allergic to peanuts is 25%. For smokers and with high tar deposit, the probability of being allergic to peanuts is 49%. For nonsmokers, the probability of high tar deposit is 22%. For smokers, the probability of high tar deposit is 73%. For smokers, would it be more likely to see being allergic to peanuts if the person had been a nonsmoker?"
smoking_frontdoor,nie,"E[Y_{X=0, V3=1} - Y_{X=0, V3=0}]",3,222,8954,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. For nonsmokers, the probability of high tar deposit is 77%. For smokers, the probability of high tar deposit is 26%. For nonsmokers and with no tar deposit, the probability of lung cancer is 71%. For nonsmokers and with high tar deposit, the probability of lung cancer is 45%. For smokers and with no tar deposit, the probability of lung cancer is 63%. For smokers and with high tar deposit, the probability of lung cancer is 37%. The overall probability of smoking is 39%. Does smoking positively affect lung cancer through tar deposit?",9031,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. For nonsmokers, the probability of high tar deposit is 66%. For smokers, the probability of high tar deposit is 32%. For nonsmokers and with no tar deposit, the probability of lung cancer is 82%. For nonsmokers and with high tar deposit, the probability of lung cancer is 56%. For smokers and with no tar deposit, the probability of lung cancer is 79%. For smokers and with high tar deposit, the probability of lung cancer is 53%. The overall probability of smoking is 37%. Does smoking negatively affect lung cancer through tar deposit?"
smoking_frontdoor,nie,"E[Y_{X=0, V3=1} - Y_{X=0, V3=0}]",3,229,19364,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and freckles. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on freckles. Gender is unobserved. For nonsmokers, the probability of high tar deposit is 56%. For smokers, the probability of high tar deposit is 32%. For nonsmokers and with no tar deposit, the probability of freckles is 76%. For nonsmokers and with high tar deposit, the probability of freckles is 43%. For smokers and with no tar deposit, the probability of freckles is 67%. For smokers and with high tar deposit, the probability of freckles is 32%. The overall probability of smoking is 37%. Does smoking positively affect freckles through tar deposit?",14663,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and peanut allergy. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on peanut allergy. Gender is unobserved. For nonsmokers, the probability of high tar deposit is 9%. For smokers, the probability of high tar deposit is 87%. For nonsmokers and with no tar deposit, the probability of being allergic to peanuts is 41%. For nonsmokers and with high tar deposit, the probability of being allergic to peanuts is 66%. For smokers and with no tar deposit, the probability of being allergic to peanuts is 27%. For smokers and with high tar deposit, the probability of being allergic to peanuts is 53%. The overall probability of smoking is 44%. Does smoking negatively affect peanut allergy through tar deposit?"
smoking_gene_cancer,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,141,9081,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gene has a direct effect on smoking and lung cancer. Pollution has a direct effect on smoking and lung cancer. Smoking has a direct effect on lung cancer. Pollution is unobserved. For people with nonsmoking genes, the probability of lung cancer is 70%. For people with smoking genes, the probability of lung cancer is 56%. Will smoking gene decrease the chance of lung cancer?",4407,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gene has a direct effect on smoking and lung cancer. Pollution has a direct effect on smoking and lung cancer. Smoking has a direct effect on lung cancer. Pollution is unobserved. For people with nonsmoking genes, the probability of lung cancer is 37%. For people with smoking genes, the probability of lung cancer is 50%. Will smoking gene decrease the chance of lung cancer?"
